horizon,term,estimate,std_error,t_value,p_value,nobs,adjusted_r2,se_type
1,const,-0.005608,0.027302,-0.20542,0.837244,298,0.263047,HAC
1,gpr_change_z,-0.202375,0.015179,-13.332978,0.0,298,0.263047,HAC
1,sample_global_cycle,0.000686,0.038225,0.017942,0.985685,298,0.263047,HAC
3,const,-0.031757,0.11459,-0.277135,0.781677,296,0.016782,HAC
3,gpr_change_z,-0.154975,0.046065,-3.364255,0.000768,296,0.016782,HAC
3,sample_global_cycle,0.028702,0.159067,0.180442,0.856805,296,0.016782,HAC
6,const,-0.087752,0.283284,-0.309766,0.756739,293,0.00556,HAC
6,gpr_change_z,-0.204524,0.079344,-2.577678,0.009947,293,0.00556,HAC
6,sample_global_cycle,0.091894,0.387292,0.237272,0.812446,293,0.00556,HAC
